account,name
59377,YY1_Overage $0.0125
60522,II
60346,YY
58304,YY
60568,DD
59314,YY
58343,DD
A9006,DD
60161,YY
A9007,DD
60562,YY
59398,YY
57917,FF-all 1.34
59771,YY1
55495,LL_Freedom Pop
60540,DD
60538,DD
60542,DD
60539,DD
60537,DD
60541,DD
55493,YY
52573,ZZ
58335,FF
43333,Innovative Vision SIP
60787,DD
46305,QQ1
57851,YY
59555,YY
52100,YY
60036,DD
61273,YY
60159,YY
61816,YY
61889,YY
61915,II
61945,ZZ
62055,II
62242,YY
62337,YY
62796,DD
63426,ZZ
60293,LL
61849,FF1
61853,FF1
59407,YY1
59230,YY
59627,YY
61820,YY
60000,YY
60399,YY
60359,YY
60767,YY
61902,ZZ
61905,YY
61788,ZZ
61803,YY
60473,YY
61932,II
61925,QQ
61930,II
61949,YY
58353,YY
61053,DD
59068,YY
62018,LL
59287,II
55991,ZZ
62007,GG_BroadPath Healthcare
59130,YY
62039,FF1_Instinct Tech
61903,YY
60206,YY
62186,FF1
60596,LL
38786,YY
62098,ZZ
61841,YY
60622,LL
62257,FF1
62271,FF1
62266,FF1
35648,YY
60164,YY
62323,LL
61966,FF1
56250,LL
57946,YY
62340,GG_BroadPath Healthcare
58975,ZZ
62556,LL
61958,ZZ
47011,ZZ
62294,ZZ
62547,II
62542,II
62546,II
62301,ZZ
60785,YY
62407,ZZ
48833,ZZ
62341,QQ1
62243,ZZ
62569,ZZ
62548,II
62602,LL
47807,ZZ
62603,QQ
59521,QQ
61042,ZZ
62614,ZZ
62773,ZZ
60503,FF
62801,FF1
59714,LL
61826,YY
62853,LL
62854,DD
62848,DD
62850,DD
62851,LL
62846,II
62856,DD
62855,DD
62864,FF1
62865,FF1
62867,FF1
62869,FF1
62866,FF1
62868,FF1
62871,FF1
62877,FF1
62872,FF1
62873,FF1
62874,FF1
62876,FF1
62875,FF1
62863,FF1
62878,FF1
55488,ZZ
56419,YY
55324,LL
62844,OO
62823,ZZ
62207,FF1
56773,LL_safco
45123,QQ1
62274,LL_Travel Shopping Network
62586,C_ICAN
62802,FF1
62964,YY
62820,ZZ
55005,ZZ
63145,LL
62959,ZZ
63436,QQ
63554,OO
62298,QQ
63147,ZZ
62977,YY
63148,FF1
63000,DD
63005,DD
62986,DD
62993,DD
63011,DD
63017,DD
63002,DD
63007,DD
63667,YY
63668,FF1
63732,LL
63751,QQ
64644,QQ
65078,ZZ
65075,FF
63001,DD
62988,DD
63012,DD
63018,DD
62995,DD
63006,DD
62976,DD
62972,DD
62974,DD
63670,ZZ
63682,Bosley Manual
63707,GG_American Support
63726,GG_tmone_test
63003,DD
63009,DD
62990,DD
62996,DD
62991,DD
62997,DD
63013,DD
63019,DD
63014,DD
63020,DD
63004,DD
63010,DD
62992,DD
62998,DD
63015,DD
63021,DD
62194,YY
41094,YY
63701,FF1
58358,ZZ
63752,FF1
63755,FF1
63753,FF1
63754,FF1
63756,FF1
63757,FF1
63022,FF1
63782,C_Debt Free America_str
63724,LL
64199,FF1
63784,C_ICAN
62237,ZZ
64283,QQ_SR Solutions 2
63848,II
62813,ZZ
64272,QQ
64282,TCPA_loopback
63749,FF1
63747,QQ1
62654,LL
63841,ZZ
64540,II
63771,LL
64559,FF1
64555,FF1
64556,FF1
64554,FF1
64638,FF1
